ax,ay,az
-1.37,-0.62,1.76
-1.64,-0.52,2.11
-1.25,-0.52,-0.73
0.19,-0.68,-1.4
0.96,-0.79,-0.66
-0.13,-0.22,0.48
-1.55,-0.05,0.7
-1.25,0.08,0.48
0.14,-0.02,1.08
1.12,0.09,1.17
0.02,0.99,0.26
-0.7,2.02,-0.54
-0.4,2.14,-1.01
1.33,1.74,-0.54
0.8,0.98,-0.34
0.19,0.17,-0.14
-1.05,-0.11,0.78
-0.72,0.08,1.02
0.21,0.45,0.81
-0.69,-1.42,0.29
0.41,-2.6,-0.11
0.91,-0.83,0.82
1.39,0.77,1.98
-0.39,0.14,2.02
-1.05,-1.17,1.56
-1.24,-1.94,1.59
-1.16,-1.89,1.2
-0.99,-1.51,0.43
-1.08,-1.06,-0.3
-0.58,-0.26,-0.19
-0.02,-0.47,0.09
-0.14,-0.29,-1.22
1.06,0.15,-1.02
1.1,0.39,-1.6
0.89,0.27,-1.3
0.73,0.08,-0.61
0.3,0.4,-0.98
1.16,0.72,-1.15
1.41,0.68,-0.86
0.22,0.55,-1.16
-0.54,-0.05,-1.59
-0.68,-0.77,-1
-0.38,-0.58,-0.87
-0.57,-0.29,-0.79
-0.56,-0.35,0.09
0.3,0.29,-0.37
-0.44,-0.64,0.34
-0.6,-1.45,0.25
0,-1.17,0.08
0.29,-1.14,0.18
-0.67,-2.53,0.44
-1.21,-3.11,1.26
-1.44,-2.45,1.18
-1,-1.07,0.3
0.94,1.21,-0.86
-0.48,0.17,0.02
-2.88,0.31,0.24
-1.71,-0.55,-1.92
-0.17,-0.98,-2.55
-0.59,-0.97,-0.48
-0.73,1.54,1.78
0.11,1.8,0.82
0.35,0.94,1.34
0.13,3.52,0.46
0.14,4.76,0.74
-0.12,4.71,0.53
-0.74,-0.1,-0.25
0.34,-0.14,-0.6
0.1,-0.89,0.12
0.19,-0.66,0.89
-0.32,0.1,-0.56
0,-0.54,-0.58
-0.06,-0.86,-0.88
0.85,-0.75,-0.7
1.04,-1.17,0.27
-0.14,-1.42,0.47
-0.22,-0.29,0.28
0.53,2.08,0.27
-0.91,4.06,2.25
-1.99,2.39,0.92
0.68,0.12,-1.06
-0.24,-1.04,-2.51
0.22,-0.3,-1.25
0.62,-0.27,0.83
0.4,-0.33,1.05
-0.4,-0.06,0.19
-0.57,0.26,-0.08
-0.31,0.28,0.04
-0.13,0.34,-0.13
-0.02,0.24,-0.22
-0.18,0.04,-0.04
0.21,-0.44,0.37
-0.44,0.39,-0.3
-0.34,-0.09,-0.19
-0.1,0.19,-0.01
0.1,0.18,-0.07
0.2,0.24,-0.35
0.01,-0.16,-0.23
0.14,-0.13,-0.02
0.4,0.08,0.08
0.99,0.48,0.73
0.75,0.58,0.37
0.65,0.76,-0.14
0.28,0.04,0.05
-1.39,0.49,0.29
-1.77,-0.99,-0.07
0.12,-0.5,-0.1
-0.08,-0.16,0.3
-0.24,-0.35,-0.2
0.39,-0.39,-0.14
0.57,-0.67,-0.01
0.32,-0.51,-0.29
-0.27,-0.04,-0.21
-0.59,-0.2,-0.1
-0.03,-0.22,0.23
-0.5,-0.88,-0.22
-0.53,0.56,0.07
-0.25,0.98,-0.07
-0.05,0.28,0.12
-0.27,0.22,0.12
-0.46,-0.42,0.13
0.22,-0.29,-0.14
0.64,0.81,0.2
-0.3,0.46,0.19
-0.5,-0.49,-0.18
-0.02,0.39,0.13
0.33,0.8,0.64
0.09,0.46,0.14
-0.05,0.19,0.01
0.35,1.3,0.22
-0.08,0.32,-0.04
0.04,0.5,-0.08
-0.12,0.29,0.18
-0.13,0.21,-0.22
-0.08,0.01,0.18
0.23,-0.39,0.21
0.23,-0.3,-0.51
0.12,-0.84,-0.21
0.27,-0.4,-0.37
-0.55,-0.05,-0.17
0.18,-0.13,-0.11
0.07,-0.09,-0.46
-0.09,-0.25,-0.34
-0.15,-0.15,-0.31
-0.07,0.01,-0.17
-0.01,0.08,-0.2
0,0.54,0.02
-0.21,0.23,0.12
-1.08,-1.25,-0.35
1.07,1.56,0.78
-0.47,0.88,0.21
0.13,0.3,-0.21
0.2,0.76,0.39
-0.01,0.04,0.3
-0.37,-0.27,0.09
0.3,0.24,0.2
-0.13,0.22,0.34
-0.19,-0.32,0.29
-0.23,-0.09,-0.28
0.19,0.11,-0.08
-0.21,-0.38,0.5
0,-0.37,-0.05
-0.01,0.07,-0.26
0.12,-0.85,0.15
0.06,0.18,-0.17
-0.04,0.03,-0.29
0.13,-0.12,-0.51
0.04,0.05,-0.46
-0.02,-0.23,-0.74
-1.09,-0.43,-1.68
0.56,0.64,-0.64
0.26,0.03,-0.62
0.09,0.06,-0.22
-1.52,-1.68,-0.08
0.07,0.47,0.13
0.4,0.38,0.05
-0.32,0.25,-0.55
-0.27,-0.15,-0.34
-0.18,-0.16,-0.16
0.3,0.88,-0.23
0.25,0.68,-0.04
0.65,1.02,0.17
0.06,0.4,-0.11
-0.1,0.1,0.03
-0.17,0.08,-0.07
-0.47,-0.64,0.25
-0.39,-0.67,0
0.16,0.29,-0.26
0.21,0.71,0.01
-0.29,0.46,0
-0.33,0.1,-0.23
-0.18,-0.19,-0.31
0.08,0.19,0.01
0.04,0.04,0.29
-0.17,0.12,0.28
-0.04,0.08,0.09
0.42,0.43,0.09
0.02,0.37,0.22
-0.26,0.19,0.27
-0.21,0.15,0.18
-0.05,-0.16,0.1
0.39,-2.29,0.56
0.05,-0.84,-0.75
-0.14,-0.24,-0.1
0.26,0.62,-0.03
0.4,2.08,0.04
0.17,2.02,-0.18
0.19,0.82,-0.19
-0.21,-0.09,0.12
-0.26,-0.4,0.25
-0.11,-0.46,0.16
0.02,-0.37,0.14
0.04,-0.34,0.18
-0.2,-0.11,0.14
-0.6,0.36,-0.25
-0.63,0.34,0.37
0.32,-0.23,0.2
-0.65,0.28,0.23
1.19,0.32,-0.83
-0.16,-0.5,0.26
-0.23,-0.32,0.37
-0.05,0,0.25
0.05,0.16,-0.1
-0.06,0.19,-0.25
-0.14,0.18,-0.25
-0.17,0.08,-0.22
-0.14,0,-0.11
0,0.06,-0.2
