ax,ay,az
0.03,-0.48,-0.54
0.54,-0.25,-0.42
0.88,-0.13,-0.54
0.86,-0.02,-0.92
0.72,0.3,-1.31
0.55,0.58,-1.5
0.1,0.41,-1.01
-0.31,0.05,-0.78
-0.28,0.15,-0.95
-0.05,0.43,-0.99
0.31,0.62,-0.62
0.62,0.65,-0.37
0.56,0.36,-0.13
0.34,-0.08,0.02
-0.08,-0.48,-0.28
0.48,-0.04,-0.47
-0.19,-0.06,-0.4
-0.42,-0.08,-0.33
-0.38,-0.15,-0.19
-0.46,-0.28,-0.03
-0.4,-0.21,-0.02
-0.19,-0.09,-0.32
-0.46,0,-0.28
-0.3,-0.01,0.04
-0.13,0.02,0.31
-0.22,0.01,0.37
-0.56,-0.49,0.28
-0.58,-0.3,0.09
-0.3,-0.03,0.17
-0.23,-0.1,0.32
-0.19,-0.23,0.35
-0.07,-0.32,0.21
0.04,-0.1,-0.09
-0.54,0.08,0.26
-0.64,0.11,0.44
-0.79,-0.2,0.59
-0.34,0.01,0.49
-0.39,0.12,0.32
-0.36,0.28,0.4
-0.36,0.48,0.45
-0.61,0.52,0.1
0.35,2.05,0.42
-0.81,1.69,0.16
-0.7,1.05,0.15
-0.56,0.29,0.49
-0.54,-0.15,0.45
-0.53,-0.2,0.13
-0.22,-0.19,-0.05
0.2,-0.37,0.02
0.39,-0.44,0.13
0.52,-0.35,-0.11
0.31,-0.13,-0.45
0.21,-0.01,-0.62
0.34,-0.09,-0.83
0.73,0.22,-1.19
0.91,0.72,-1.08
0.89,0.75,-0.79
0.97,0.32,-0.72
1.04,-0.49,-0.71
0.94,-0.85,-0.49
0.41,-0.64,-0.45
0.02,0.14,-0.52
0.27,0.81,-0.55
0.18,0.9,-0.33
0,0.78,-0.04
-0.13,0.36,-0.13
-0.14,0.15,-0.23
0.09,-0.04,-0.16
0.28,-0.31,-0.08
0.41,-0.34,-0.11
0.47,-0.29,-0.06
0.47,-0.27,0.14
0.46,-0.36,0.37
0.46,-0.37,0.45
0.38,-0.37,0.65
0.25,-0.34,0.87
0.17,-0.35,0.73
-0.02,-0.62,0.9
-0.33,-0.93,0.99
-0.32,-0.88,0.58
0.13,-0.57,0.22
0.34,-0.18,0.26
