ax,ay,az
0.12,0.75,0.15
0.16,0.44,0.4
0.08,-0.06,0.41
0.18,-0.23,0.29
0.34,-0.29,0.12
0.45,-0.29,0.08
0.51,-0.21,0.1
0.63,-0.06,0.03
0.65,0,0.31
0.46,0.03,0.14
0.35,-0.05,0.31
0.25,-0.07,0.34
0.31,0.07,0.06
0.29,0.02,0.28
0.19,-0.05,0.33
0.16,-0.14,0.48
0.12,-0.04,0.41
0.19,0.28,0.25
0.26,0.48,0.19
0.28,0.52,0.1
0.43,0.46,0.09
0.35,0.25,0.15
0.24,-0.31,0.25
0.29,-0.65,-0.1
0.2,-0.5,-0.19
0.17,-0.19,-0.18
0.46,0.02,-0.2
0.61,0.34,-0.17
0.46,0.25,-0.15
0.34,0.1,-0.04
0.19,0.01,-0.18
0.12,0,-0.34
0.17,0,-0.12
0.08,0.09,-0.39
-0.04,0.16,-0.41
-0.22,0.01,-0.32
-0.21,-0.03,-0.32
-0.17,-0.02,-0.49
-0.12,-0.1,-0.43
-0.15,-0.3,-0.44
-0.29,-0.35,-0.39
-0.44,-0.24,-0.39
-0.46,-0.14,-0.28
-0.18,0.01,0.05
-0.15,0.1,0.19
-0.35,0.39,0.26
-0.57,0.61,0.54
-0.59,0.69,0.81
-0.36,0.58,0.75
0.04,0.43,0.43
0.06,0.24,0.37
-0.37,-0.19,0.59
-0.7,-0.41,0.18
-0.69,-0.47,0.21
-0.52,-0.36,0.26
-0.29,-0.14,-0.08
-0.43,-0.26,0.27
-0.73,-0.35,0.39
-0.8,-0.22,0.26
-0.78,-0.1,0.05
-0.8,-0.37,0.34
-0.79,-0.52,0.5
-0.69,-0.17,0.3
-0.54,0.39,0.06
-0.42,0.66,0.06
-0.35,0.43,0.44
-0.45,-0.26,0.67
-0.31,-0.45,0.52
-0.1,-0.24,0.51
-0.11,-0.02,0.69
0,-0.2,0.9
0.14,-0.79,1.12
0.02,-1.46,1.33
-0.2,-1.73,0.98
-0.43,-1.49,0.32
-0.53,-2.15,0.3
-0.42,-3.31,-0.52
-0.52,-4.56,-0.65
-1.07,-4.87,0.11
-1.66,-3.79,0.48
-1.8,-2.82,0.45
-1.26,-2.79,0.27
-1.05,-2.85,0.09
-1.72,-3.18,1.04
-1.34,-2.32,-0.18
-0.64,1.3,-1.35
1.11,6.57,-1.78
1.8,8.24,-0.98
3.18,7.6,-0.64
4.28,9.24,0.94
3.46,9.33,1.92
1.86,6.04,1.03
