ax,ay,az
0.18,0.14,0.03
0.09,0.2,0.01
0.03,0.17,0.04
-0.02,-0.13,0.02
-0.01,-0.24,-0.07
-0.13,-0.36,-0.23
-0.27,-0.38,-0.31
-0.42,-0.32,-0.09
-0.66,-0.19,0.15
-0.69,-0.16,-0.01
-0.43,0.19,-0.34
-0.11,0.93,-0.13
0.09,1.22,0.42
0.55,0.81,0.7
0.88,0.08,0.7
0.55,-0.22,0.21
-0.14,-0.86,0.27
-0.93,-1.45,0.17
-1.03,-1.28,0.06
-0.49,-0.94,-0.09
0.2,-0.56,-0.38
0.27,0.01,-0.34
-0.32,0.03,-0.04
-0.39,-0.76,-0.11
0.23,-1.72,-0.38
0.79,-2.81,-0.41
0.72,-2.98,-0.47
-0.64,-1.64,0.13
-1.71,-0.13,0.35
-1.45,0.32,0.33
-0.56,-1.11,0.39
-1.27,-1.7,0.44
-1.62,-0.28,0.61
-1.2,0.65,0.99
-0.71,0.32,1.12
-0.9,-0.74,1.23
-0.94,-1.8,1.05
-0.54,-1.41,0.38
-0.1,-0.39,0.11
-0.62,0.36,0.6
-1.78,-0.2,1.64
-2.3,-1.16,1.7
-0.36,-0.26,0.42
1.84,1.89,-0.17
1.77,4.01,-0.27
0.35,4.02,-0.12
-0.09,1.41,-0.51
0.07,-0.05,-0.02
0.06,-0.35,0.15
1.48,1.09,0.14
1.75,2.72,0.35
0.78,3.46,0.05
-1.41,1.33,-0.27
-1.28,-0.17,-0.37
-0.26,-0.41,-0.45
0.68,0.29,-0.08
1.07,0.75,-0.17
0.86,0.45,-0.22
0.53,-0.36,-0.1
0.53,-0.74,0.08
0.69,-0.59,0.19
0.66,-0.27,0.34
0.26,-0.09,0.52
0.07,-0.08,0.38
-0.01,-0.1,0.17
-0.04,-0.21,-0.06
0.07,-0.76,0.05
0.21,-1.42,0.24
-0.08,-2.32,0.49
-0.51,-3.04,0.19
-0.29,-2.46,-0.64
0.28,-0.87,-1.28
1.19,0.19,-0.96
1.39,-0.17,-0.15
0.81,-0.92,0.17
0.11,-1.24,0.13
0.2,-1.27,0.24
0.13,-1.16,0.34
0.41,-0.7,0.09
0.37,-0.04,0.08
0.36,0.52,0.85
0.12,0.66,1.45
-0.39,0.64,1.37
-0.79,0.32,1.3
-0.69,0.27,1.19
-0.56,0.16,1.32
-0.86,0.04,1.34
-1.03,0.1,0.79
-0.59,0.81,0.3
-0.07,1.74,0.22
0.15,2.43,-0.2
0.91,2.88,-0.6
0.97,1.74,-1.01
0.1,1.56,-1.03
-0.54,3.29,-1.3
0.06,4.41,-1.41
1.44,2.17,-1.52
1.48,-0.68,-0.71
0.63,-1.95,0.08
0.09,-1.67,0.64
-0.46,-0.85,0.68
-0.63,0.25,0.25
-0.43,1.03,-0.32
0.03,1.15,-0.37
0.16,0.46,-0.59
0.14,-0.42,-0.56
0.09,-0.74,-0.39
-0.06,-0.54,-0.31
-0.3,-0.16,-0.32
-0.42,0.13,-0.5
-0.57,0.21,-0.6
-0.35,0.59,-0.68
0.01,0.6,-0.54
0.12,0.46,-0.26
-0.2,-0.32,0.29
-0.61,-1.01,0.42
-0.58,-1.02,-0.01
-0.4,-0.8,-0.36
-0.12,-1.33,-0.34
0.3,-2.63,-0.42
0.63,-3.15,-0.8
0.11,-2.05,-0.71
-1.09,-0.64,-0.06
-1.46,-0.43,0.12
-0.94,-1.09,-0.13
-1.09,-1.48,0.08
-1.02,0.06,0.33
-0.36,1.17,0.83
0.26,0.4,0.81
0.05,-0.95,0.68
-0.64,-1.72,1.05
-0.5,-1.27,0.64
-0.15,-0.89,0.47
-0.79,-0.6,0.47
-1.27,-0.48,0.54
-0.23,-1.1,0.25
0.47,-0.93,0.31
1,0.6,0.09
0.85,2.61,-0.85
1.64,6.21,-1.65
-0.46,5.33,-0.94
-0.44,2.43,0.07
1.64,1.74,0.9
1.46,2.36,0.27
0.07,2.27,-1.14
-0.37,1.23,-1.28
0.33,0.29,-0.61
0.6,-0.12,0.14
0.04,-0.35,0.36
-0.7,-0.46,-0.09
-0.79,-0.13,-0.39
-0.34,0.16,-0.28
0.89,0.64,-0.29
1.67,0.72,-0.26
1.39,0.24,0.03
0.71,-0.31,0.1
0.16,-0.44,0.02
-0.02,-0.2,-0.17
0.1,0.02,-0.22
0.25,-0.1,-0.07
0.4,-0.12,0.04
0.16,-0.06,0.14
-0.03,-0.32,0.23
-0.13,-0.81,0.34
0.05,-1.29,0.34
0.45,-1.19,0
0.45,-0.64,-0.17
0.27,0.05,-0.12
-0.09,-0.29,0.12
-0.18,-1.36,-0.04
0.13,-2.16,-0.24
0.5,-2.44,-0.13
