ax,ay,az
0.33,-0.07,0.05
0.29,-0.38,0.15
0.16,0.25,0.03
0.14,0.77,-0.18
0.24,0.46,-0.23
0.31,0.12,-0.15
0.31,0.01,-0.05
0.09,0.13,-0.26
0.24,0.07,-0.01
0.28,-0.07,-0.09
0.4,-0.03,-0.11
0.35,0.21,-0.11
0.17,0.19,0.11
0.18,-0.09,0.12
0.07,0.12,-0.2
0.05,0.29,-0.11
0.16,0.15,0.09
0.27,-0.03,0.11
0.13,-0.12,-0.05
0.16,0.08,-0.03
0.19,0.15,-0.04
0.16,0.12,-0.06
0.14,0.02,-0.06
0.09,0.06,-0.01
0.1,0.05,0
0.17,0.05,-0.09
0.09,0.18,-0.1
0.09,0.29,0
0.09,0.08,0.02
0.09,-0.03,-0.13
0.2,-0.03,-0.11
0.14,0.13,-0.15
0.18,0.09,-0.18
0.25,-0.16,0.15
0.21,0.02,-0.17
0.15,0.15,-0.04
0.18,0.11,-0.05
0.24,0.07,-0.01
0.16,0.1,-0.1
0.13,0.12,-0.07
0.14,0.05,0.04
0.18,-0.05,0.01
0.16,0.06,-0.06
0.14,0.22,-0.04
0.15,0.21,0.04
0.19,0.03,0.04
0.23,0.02,-0.04
0.27,0.26,-0.04
0.24,0.18,0.05
0.24,-0.17,0.03
0.15,-0.23,-0.17
0.18,0.11,-0.09
0.04,0.22,0.21
0.05,0.18,0.28
0.26,0.16,0.2
0.39,-0.13,0.08
0.17,-0.11,-0.21
0.09,-0.09,-0.04
0.11,0.07,-0.08
0.19,0.09,-0.25
0.04,0.09,0.01
0.03,0.18,-0.04
0.05,0.21,-0.11
0,0.27,-0.12
0.2,0.44,0.02
0.34,0.45,0.18
0.37,0.17,0.16
0.46,-0.09,0.03
0.47,-0.15,0.06
0.29,-0.31,0.14
0.01,-0.48,0.27
-0.17,-0.45,0.32
-0.19,-0.18,0.21
-0.14,0.19,0.1
-0.08,0.45,0.01
-0.03,0.43,-0.06
0.06,0.15,0.02
0.1,-0.12,0.24
0.06,-0.5,0.38
-0.29,-0.69,0.15
-0.71,-0.4,-0.3
-0.52,0.11,-0.05
-1.02,0.18,-0.63
-1.44,0.46,-0.58
-1.25,0.44,-0.46
-0.49,0.45,-0.06
0.11,0.49,0.29
0.4,0.64,0.42
0.25,0.45,0.53
0.1,-0.15,0.62
0.05,-0.42,0.6
0.16,-0.19,0.37
0.16,-0.03,0.46
-0.16,-0.17,0.64
-0.46,-0.36,0.54
-0.51,-0.17,0.18
-0.48,-0.06,0.09
-0.35,-0.3,0.31
-0.15,-0.47,0.47
0.06,-0.43,0.44
0.02,-0.09,0.42
-0.25,0.38,0.47
-0.26,0.57,0.56
-0.03,0.59,0.37
0.48,-0.09,0.72
0.72,-0.55,0.29
0.64,-0.37,0.21
0.08,-0.37,0.62
-0.19,-0.12,0.37
-0.48,-0.01,0.44
-0.67,-0.28,0.88
-0.74,-0.78,1.1
-0.66,-0.82,1.12
-0.57,-0.45,1.23
-0.41,-0.1,1.22
-0.2,0.09,1.42
-0.04,-0.35,1.37
-0.15,-0.54,1.24
-0.26,-0.09,1.07
-0.29,0.05,1.27
-0.26,-0.12,1.47
-0.29,-0.14,0.85
-1.04,0.72,-0.34
-1.82,2.38,-0.48
-1.37,3.64,-0.22
-0.41,4.46,1.1
-0.21,5.12,1.42
-0.49,5.25,1.27
-0.92,4.9,-0.36
-0.31,3.41,-0.65
0.64,1.55,-1.16
1.51,0.28,-1.93
1.47,-0.18,-2.05
1.04,0.2,-1.95
1.27,0.68,-1.67
1.41,0.23,-1.18
1.31,-0.61,-0.79
0.86,-1.12,-0.75
0.32,-1.7,-0.5
-0.1,-2.55,-0.41
-0.27,-3.47,-0.61
-0.16,-4.06,-0.89
0.14,-4.08,-0.97
0.55,-3.47,-0.85
0.6,-2.54,-0.66
0.17,-1.96,-0.6
0.06,-1.35,-0.7
0.35,-0.34,-0.65
0.56,0.9,-0.5
0.69,1.56,0.38
0.58,1.55,0.25
0.29,0.84,-0.16
-0.26,-0.47,0.42
-0.37,-0.94,0.29
-0.12,-0.75,-0.18
0.04,-0.17,-0.26
0.14,0.18,-0.06
0.34,-0.02,0.19
0.47,-0.55,0.49
0.43,-0.55,0.18
0.3,0.1,-0.21
0.21,0.1,0.23
0.21,-0.54,0.69
0.25,-0.49,0.65
0.31,0.29,0.31
0.14,0.54,0.58
-0.07,0.15,1.03
-0.11,-0.26,1.15
-0.21,-0.43,1.03
-0.41,-0.44,1.13
-0.66,-0.6,1.07
-0.46,-0.43,1.02
-0.03,0.08,0.44
-0.01,0.64,-0.41
0.02,0.28,-0.05
0.43,-0.01,0.07
1.09,0.57,-0.32
0.84,1.51,-0.05
0.03,2.37,0.67
-0.57,2.86,1.24
-0.6,3.32,0.81
0.23,3.74,0.5
1.29,4.19,0.1
1.04,4.31,0
0.06,3.71,-0.34
-0.49,2.37,-0.92
-0.85,0.66,-1.32
